Nomor laporan,Keterangan Laporan,Foto Laporan,Status laporan,Tanggal lapor,Tanggal ditindaklanjuti,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi
1054110,"PKL dan parkir liar
Tolong di TL #bikinmacet #trotoar",http://lh3.googleusercontent.com/ogZKowTot0gBVQCKY68MDrq6eaHTfR0C4T8gHXh2_6yk2KtDIBRp5U9wULsYZDPLTuPtLx6Yoy70fbeNGZZJn7enwpQ=s480-c,complete,03/10/2017,05/10/2017,Kaki Lima Liar,-6.185351,106.811127,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1054476,"#bikinmacet #trotoar dipenghujung berakhirnya masa Jakarta Baru, tanah abang semakin parah. Balik lagi ke jaman semua semaunya, terima kasih para manusia yang ga mau diatur",http://lh3.googleusercontent.com/7Cfvu_53baNQ7V_0KXMkptQuAJglI-Zox_FOkJ2n2krwt5rP589JlzJLFGuKhJimp8Hv2lxDp1oG3P8lSukNZIXLYbeO=s480-c,complete,03/10/2017,05/10/2017,Kaki Lima Liar,-6.188134,106.815315,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1055802,Trotoar habis dipakai ....,http://lh3.googleusercontent.com/3pmsaA8Y2MtEcHOOg7-uduKDkFgCV_qEJXOPVU3IZ3JMBlRJk9DONb6CAdgARIY-3QwxJU2riOY7r-Q2I4hXm7DUZ_NI=s480-c,complete,05/10/2017,12/10/2017,Kaki Lima Liar,-6.194771,106.814705,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1057507,Pkl #trotoar,http://lh3.googleusercontent.com/oiWIciBscFKd-Qs6A-HTTGuakec8jeDwtmYW4SKbOc0kNt3KRtcK0CyWTl-YRf6ZLm9cfKNzPlKR0glyC42XMpHyNvWY=s480-c,complete,07/10/2017,12/10/2017,Kaki Lima Liar,-6.200277,106.815094,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1057526,#trotoar tiap malam minggu begini terus #bikinmacet,http://lh3.googleusercontent.com/-mcZzV1pFu_Fq3Yz1RV9vl-jxfmSGxzeH78nZS08AHsIwoU4FAJOii0A6fQjPaRbF_ZG8kCtNeQEeyMzbJbVujXd6kjI=s480-c,complete,07/10/2017,30/10/2017,Kaki Lima Liar,-6.210518,106.798592,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062111,PKL vip abadi disepanjang Trotoar sebelum hotel mulia #trotoar,http://lh3.googleusercontent.com/cFOU-Ldb52g7CEc3lwbSOxosZFuDKDzSfTUz3NWxmOKDw7tEZgr-O_BSbc_JwiKfd6iO_w3JYhy7SUk-6tdjT3ZXIB4=s480-c,complete,14/10/2017,30/10/2017,Kaki Lima Liar,-6.216895,106.798134,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062114,PKL vip abadi #trotoar #PedestrianFirst,http://lh3.googleusercontent.com/Mm7aKtQoB0Y1dWzK_N0PYJ2O7q22FwLDD6TZoYzET5kQvMrY7cFxK8VIE1WEEfK804--2k3cn4lX1JQO-tBylf2LzbE=s480-c,complete,14/10/2017,30/10/2017,Kaki Lima Liar,-6.218143,106.798218,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062632,#trotoar #atassaluran memakan hak pejalan kaki,http://lh3.googleusercontent.com/wsfl7ijIrCs6IxkC-KLTvUtN__VdZSoi70up_DCD8os6OE9odW8yZodhqbiMbtcPBgpuU31nnvbDsVmhbKRlHH48Uv0=s480-c,complete,15/10/2017,31/10/2017,Kaki Lima Liar,-6.184101,106.812424,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1065210,#bikinmacet #trotoar,http://lh3.googleusercontent.com/cSoW8PeagH8fyKM2nINWwsavN_IDh3R87eE1mK_E30f39_KdYv0yq32e723ZhndpgiDtiqe1wEpi7_AyeJ4vZhaETeyv=s480-c,process,20/10/2017,,Kaki Lima Liar,-6.194591,106.819946,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1066907,#trotoar nya mana,http://lh3.googleusercontent.com/LJp94yFChNKGGCGv16yP57W5Uf0Z2RWlR6Kjyj6kl6NlxKZIt-wtkyjxdtu5UJ-A6tPrcw2HtQ8IyKfaLMTfVXRKKHKT=s480-c,process,23/10/2017,,Kaki Lima Liar,-6.194705,106.81987,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
